t_ms,pwm_cmd,dir,enc_count,rpm
0,0,N,0,0.00
10,0,N,0,0.00
20,0,N,0,0.00
30,0,N,0,0.00
40,0,N,0,0.00
50,0,N,0,0.00
60,0,N,0,0.00
70,0,N,0,0.00
80,0,N,0,0.00
90,0,N,0,0.00
100,0,N,0,0.00
110,0,N,0,0.00
120,0,N,0,0.00
130,0,N,0,0.00
140,0,N,0,0.00
150,0,N,0,0.00
160,0,N,0,0.00
170,0,N,0,0.00
180,0,N,0,0.00
190,0,N,0,0.00
200,0,N,0,0.00
210,0,N,0,0.00
220,0,N,0,0.00
230,0,N,0,0.00
240,0,N,0,0.00
250,0,N,0,0.00
260,0,N,0,0.00
270,0,N,0,0.00
280,0,N,0,0.00
290,0,N,0,0.00
300,0,N,0,0.00
310,0,N,0,0.00
320,0,N,0,0.00
330,0,N,0,0.00
340,0,N,0,0.00
350,0,N,0,0.00
360,0,N,0,0.00
370,0,N,0,0.00
380,0,N,0,0.00
390,0,N,0,0.00
400,0,N,0,0.00
410,0,N,0,0.00
420,0,N,0,0.00
430,0,N,0,0.00
440,0,N,0,0.00
450,0,N,0,0.00
460,0,N,0,0.00
470,0,N,0,0.00
480,0,N,0,0.00
490,0,N,0,0.00
500,160,F,0,0.00
510,160,F,0,0.00
520,160,F,0,0.00
530,160,F,0,0.00
540,160,F,4,10.00
550,160,F,9,12.50
560,160,F,16,17.50
570,160,F,23,17.50
580,160,F,31,20.00
590,160,F,40,22.50
600,160,F,49,22.50
610,160,F,59,25.01
620,160,F,69,25.00
630,160,F,78,22.50
640,160,F,89,27.50
650,160,F,100,27.51
660,160,F,111,27.51
670,160,F,123,30.00
680,160,F,136,32.50
690,160,F,148,30.00
700,160,F,161,32.49
710,160,F,174,32.50
720,160,F,188,35.01
730,160,F,201,32.49
740,160,F,215,35.00
750,160,F,229,35.00
760,160,F,244,37.50
770,160,F,258,35.00
780,160,F,273,37.50
790,160,F,287,35.00
800,160,F,303,40.01
810,160,F,318,37.48
820,160,F,333,37.51
830,160,F,349,40.00
840,160,F,364,37.51
850,160,F,379,37.50
860,160,F,395,40.00
870,160,F,410,37.49
880,160,F,426,40.00
890,160,F,442,40.00
900,160,F,458,40.00
910,160,F,474,40.00
920,160,F,489,37.51
930,160,F,504,37.49
940,160,F,521,42.51
950,160,F,537,40.00
960,160,F,552,37.50
970,160,F,568,40.00
980,160,F,583,37.49
990,160,F,599,40.01
1000,160,F,615,40.00
1010,160,F,631,40.00
1020,160,F,647,40.00
1030,160,F,663,40.00
1040,160,F,678,37.50
1050,160,F,694,40.00
1060,160,F,710,39.99
1070,160,F,727,42.51
1080,160,F,743,40.00
1090,160,F,758,37.50
1100,160,F,774,40.00
1110,160,F,790,40.00
1120,160,F,806,40.00
1130,160,F,822,40.00
1140,160,F,839,42.50
1150,160,F,855,40.00
1160,160,F,871,39.99
1170,160,F,888,42.51
1180,160,F,905,42.49
1190,160,F,921,40.01
1200,160,F,938,42.50
1210,160,F,955,42.50
1220,160,F,973,45.00
1230,160,F,990,42.49
1240,160,F,1007,42.50
1250,160,F,1026,47.50
1260,160,F,1044,44.98
1270,160,F,1063,47.51
1280,160,F,1081,45.00
1290,160,F,1099,45.00
1300,160,F,1117,45.00
1310,160,F,1137,50.01
